/sentences,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
2046,733,,,,,This computer was awful!
2450,734,,,,,"Heck, if I had enough ' money, I would but it as a gift for someone."
2170,735,74,positive,feature,81,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows."
2170,735,103,positive,Windows,110,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows."
2170,735,31,neutral,games,36,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows."
2624,736,4,positive,battery life,16,The battery life is amazingly long at 7hrs and 5hrs if you use it.
1822,737,,,,,My previous purchases were with Dell and HP.
2374,738,,,,,I have not have any problems.
1896,739,,,,,I purchased an HP right after my high school graduation.
341,740,,,,,Me and my boyfriend bought the Gateway NV78 in nov of 09.
2245,741,,,,,It is very user friendly and not hard to figure out at all.
1569,742,18,positive,battery life,30,"lightweight, long battery life, excellent transition from PC;"
3064,743,4,positive,price,9,The price is another driving influence that made me purchase this laptop.
2953,744,4,negative,Nortons virus scan,22,The Nortons virus scan is only for a very short time unlike others that usually are good for a year.
2129,745,74,positive,frame,79,It is stamped and not in pieces therefore it is a stronger more resilient frame.
2075,746,43,positive,features,51,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.
2075,746,64,positive,use,67,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.
2180,747,,,,,"Two, owning a 17 in.mac book gives the flexibility to sit anywhere you want without worry about bother anyone."
1362,748,,,,,Sent unit back and it's been two months.
2710,749,11,positive,loaded,17,Came fully loaded - good.
1373,750,42,neutral,Windows 7,51,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
1373,750,67,neutral,Vista,72,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
1373,750,117,negative,Vista,122,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
1373,750,10,neutral,windows,17,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
1370,751,62,conflict,Windows XP,72,"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista."
1370,751,133,neutral,Vista,138,"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista."
1697,752,,,,,(I definatly can't).
276,753,,,,,"Files as well would become lost, deleted or corrupted."
1287,754,,,,,It is meant to be PORTABLE.
1929,755,,,,,My laptop worked again for just a while before I started having issues AGAIN.
2365,756,,,,,This is perfect for her field.
412,757,,,,,taking it back less than 24 hours of purchase
2742,758,,,,,That's the downside for me.
1758,759,35,negative,key broad,44,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is."
1257,760,,,,,Hopefully Amazon will take this back.
1908,761,,,,,  They ended up keeping my computer for almost 3 months!
842,762,30,negative,warranty,38,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered."
842,762,47,negative,"repair ""depot""",61,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered."
931,763,28,neutral,school use,38,  But I needed a laptop for school use.
863,764,,,,,he can't stand it.
2151,765,,,,,The computer was delivered as promised.
36,766,46,negative,design,52,This is the complete opposite to an ergonomic design.
2967,767,30,neutral,battery life,42,I would like at least a 4 hr. battery life.
1732,768,74,negative,programs,82,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.
1800,769,,,,,"Looking online, many people are having the same problem."
1063,770,0,positive,Wireless,8,"Wireless has not been a issue for me, like some others have meantioned."
2615,771,,,,,THIS IS MY SECOND MAC BOOK PRO.
271,772,57,negative,battery life,69,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
271,772,102,negative,programs,110,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
2478,773,35,positive,trackpad,43,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier."
2478,773,88,positive,programs,96,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier."
2478,773,49,positive,navigating,59,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier."
523,774,60,positive,speakers,68,I guess the only good thing that came out of these were the speakers and the subwoofer.
523,774,77,positive,subwoofer,86,I guess the only good thing that came out of these were the speakers and the subwoofer.
1657,775,9,positive,built in camera,24,Theres a built in camera with special effects- for video and photography.
1674,776,21,positive,price,26,All for such a great price.
472,777,,,,,I went right out and purchased another laptop.
1143,778,220,neutral,warranty,228,"  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in."
2618,779,,,,,I am able to play 720p and 1080p media files just fine with it.
1708,780,,,,,"I already own an iPhone, and so the move just made more sense."
2771,781,,,,,So think about factoring those things in when you purchase.
2375,782,,,,,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.
203,783,,,,,Everything was up and running within 15 minutes of unboxing.
123,784,,,,,"This computer gets very hot, before shutting down."
2927,785,45,negative,left mouse key,59,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
2927,785,73,neutral,costed,79,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
916,786,,,,, Went silently.
2750,787,,,,,Satisfy what I paid for it.
1137,788,,,,,IT IS TRASH!
2993,789,12,positive,speed,17,It has good speed and plenty of hard drive space.
2993,789,32,positive,hard drive space,48,It has good speed and plenty of hard drive space.
2453,790,6,positive,picture,13,Clear picture on it and everything.
2661,791,,,,,"Overall though, for the money spent it's a great deal."
2590,792,,,,,So you don't get frustrated the first few weeks.
515,793,45,neutral,extended warranty,62,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore."
515,793,88,neutral,extended warranties,107,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore."
2321,794,,,,,It's so useable and responsive.
2282,795,,,,,It is truly a Desktop Replacement.
1135,796,,,,,I only used it to browse the internet and and I dont know how many times it has spontaniously shut down and it is just a blank screen now.
1577,797,,,,,"A little pricey but it is well, well worth it."
2572,798,15,positive,battery,22,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).
2387,799,0,positive,Screen,6,"Screen is awesome, battery life is good."
2387,799,19,positive,battery life,31,"Screen is awesome, battery life is good."
2517,800,46,positive,appearance,56,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.
1967,801,,,,,In my opinion it was not as user friendly as I expected either.
990,802,4,negative,technical service for dell,30,The technical service for dell is so 3rd world it might as well not even bother.
1414,803,4,negative,graphics,12,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
1414,803,32,negative,warranty,40,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
664,804,,,,,and if u did.
2484,805,,,,,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer."
903,806,71,negative,battery,78,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die."
1609,807,,,,,It was definelty a smart move.
2354,808,,,,,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.
2979,809,,,,,Apparently they are defective since they are not securely attached.
1759,810,,,,,but other then that I would give this product a 4 in hafe stars.
975,811,,,,,Sure hope Best Buy will replace it asap.
2931,812,,,,,I babyed the heck out of it and i still do.
2700,813,,,,,Handles all my basic media needs easily.
1482,814,,,,,Just what the doctor ordered.
1602,815,62,positive,case,66,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy."
1233,816,,,,,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.
2231,817,40,neutral,performance,51,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
2231,817,79,positive,price,84,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
2231,817,110,positive,look,114,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
2231,817,122,positive,applications,134,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
2828,818,10,positive,speed,15,Excellent speed for processing data.
121,819,,,,,"All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole."
2744,820,,,,,I am not happy at all with the product I purchased.
1824,821,14,negative,tech support,26,When you call tech support you were routed to someone who was in another country and did not know what they were doing.
2460,822,118,positive,gaming,124,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming."
2460,822,22,positive,use,25,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming."
2500,823,20,positive,Photoshop,29,I was taught to use Photoshop and was amazed.
600,824,,,,,It's A MAC!!
497,825,,,,,It was weird.
241,826,,,,,I can hardly wait to see whats around the next corner.
557,827,,,,,the apple pro notebook will not let you down.
531,828,,,,,"I did a review on it, its awesome."
1367,829,,,,,"  Before we got this laptop, had a compaq pasaro for 5 years with no problems."
2094,830,,,,,I tried out another Mac for a few months before buying this one and it is a great machine.
1252,831,12,negative,system clock,24,Somehow the system clock got messed up after reboot.
3007,832,43,negative,RAM,46,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow."
1650,833,39,positive,securitysoftware,55,With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.
1229,834,,,,,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.
399,835,,,,,I visited the Apple Store and was impressed with the 17-inch MacBook Pro.
1037,836,4,negative,driver updates,18,"The driver updates don't fix the issue, very frustrating."
1620,837,24,negative,Windows,31,I will never go back to Windows!
1035,838,,,,,Do your research on this issue.
201,839,,,,,"Looking to take my video and photo editing to the next level, I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop."
285,840,10,negative,work,14,It doesnt work worth a damn.
1260,841,,,,,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked."
3035,842,3,positive,works,8,It works really well.
840,843,,,,,It has happened again and I'm being told that it's $175.
2511,844,7,positive,HD,9,"Bigger HD, better graphics card, and a bid HD."
2511,844,43,positive,HD,45,"Bigger HD, better graphics card, and a bid HD."
2511,844,18,positive,graphics card,31,"Bigger HD, better graphics card, and a bid HD."
895,845,,,,,Lord HAVE MERCY!
2275,846,4,positive,built in camera,19,The built in camera is very useful when chatting with other techs in remote buildings on our campus.
1342,847,,,,,No big deal.
1124,848,26,negative,DVD burner,36,"Mine came at $1,700 w/o a DVD burner (!)."
781,849,4,negative,DVD burner,14,The DVD burner broke after burning 3 DVD'd during that time!
2987,850,3,positive,works,8,It works fine with our wireless and they've had not problems.
2133,851,21,positive,15 inch,28,But you must get the 15 inch.
131,852,,,,,i will be returning it and switching brands when i get to best buy.
1364,853,0,negative,Product support,15,Product support very poor as each phone call costs me long distan
2787,854,46,positive,screen,52,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves."
2787,854,37,positive,use,40,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves."
948,855,6,negative,casing of the power cord,30,  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.
2049,856,17,negative,internet signals,33,It does not keep internet signals no matter where you bring it.
558,857,,,,,apple is one of the best computer companies in the country.
1059,858,,,,,PLEASE MAKE THESE!
767,859,,,,,Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.
1990,860,,,,,"After the first few months, the computer started crashing about every week."
2366,861,,,,,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school."
2988,862,33,positive,price,38,It's a great product for a great price!
1385,863,29,negative,right speaker,42,"Again, the same problem, the right speaker did not work."
1646,864,64,conflict,price tag,73,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
1646,864,101,positive,software,109,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
1646,864,170,positive,updates,177,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
88,865,,,,,"Before i bought my new i5, I did my research for about 2 weeks and determined to move for HP to Apple for reliability, dependable, and long lasting operations."
1270,866,,,,,Dell wanted to charge us for everything everytime I called them with a problem.
1834,867,,,,,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.
1451,868,,,,,i have had my dell latitude for almost three years.
55,869,,,,,May be better for the occasional web surfer.
2505,870,8,positive,multiple page viewer,28,and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.
768,871,49,negative,shipped,56,This was the 3rd day and part still had not been shipped.
2559,872,,,,,Obviously we both got new Macs.
242,873,,,,,"My Iphone synced right up just like a person would expect, unlike the PCs in our lives."
2998,874,,,,,That being said after 2 weeks of owning every time I start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable.
2341,875,,,,,"It's fun to take to a bookstore, sit in the coffee shop area, sign in to WiFi and look up book reviews of books I might buy."
2908,876,,,,,"Not super fancy, but not super expensive either."
214,877,0,positive,Keyboard,8,Keyboard good sized and wasy to use.
214,877,32,positive,use,35,Keyboard good sized and wasy to use.
1263,878,22,neutral,warranty,30,HP said it was out of warranty.
650,879,,,,,"-Stay away from Apple, or hope you laptop does not break down."
2703,880,,,,,It's a great prodcut to handle basic computing needs.
142,881,25,negative,quality,32,"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop."
2947,882,10,positive,features,18,wonderful features.
66,883,,,,,the laptop was really good and it goes really fast just the way i thought it would of run.
2020,884,31,negative,recovery disk,44,I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.
2451,885,31,positive,features,39,Im glad that it has such great features in it.
605,886,,,,,it's just a great toy to have around.
314,887,13,positive,programs,21,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
314,887,34,negative,Office,40,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
314,887,106,neutral,Office programs,121,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
2777,888,6,positive,wifi,10,Great wifi too.
1085,889,5,negative,TYPING,11,"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES."
1906,890,58,negative,screen,64,"  Only a few days after I received the computer back, the screen froze again."
124,891,44,negative,temp,48,It is not ideal for children because of the temp.
2816,892,,,,,"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!"
1900,893,,,,,  When this happened I would have to completely power off my computer and restart it.
732,894,27,negative,Windows operating system,51,Although i do believe that Windows operating system may be to fault for some of the problems.
3011,895,6,positive,OS,8,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port."
3011,895,68,positive,processor speed,83,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port."
3011,895,99,positive,thunderbolt port,115,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port."
485,896,,,,,I or my dad paid over twenty four hundred dollars for everything.
1842,897,6,negative,lcd screen,16,  The lcd screen stopped working on mine after 10 months.
238,898,,,,,That includes transferring my music and movies.
205,899,0,positive,Images,6,Images are crisp and clean.
1955,900,,,,,"Took that one home, same thing."
1160,901,,,,,I'm going back to PC.
2989,902,,,,,"Great, quick laptop for the money."
1398,903,13,negative,windows vista,26,although its windows vista compared to windows xp sucks.
1398,903,39,positive,windows xp,49,although its windows vista compared to windows xp sucks.
1372,904,37,negative,Vista,42,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
1372,904,52,negative,Adobe Flash player,70,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
1372,904,129,negative,Internet Explore,145,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
1372,904,215,negative,Windows update,229,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
1372,904,326,negative,update,332,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
467,905,,,,,The Dell mini was the first Dell product that I had ever purchased.
1400,906,9,negative,switch,15,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
1400,906,102,negative,switch,108,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
47,907,,,,,My Mac has gone from being a trusted friend to an adversary.
1066,908,51,positive,4GB stick of RAM,67,"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10"
1607,909,,,,,"By week two, my laptop had overheated and was completely dead even though I did not use it too much."
910,910,,,,,And it is impossible to get them back in.
2379,911,,,,,My last laptop gave me a constant battle even though it was also completely new.
361,912,,,,,I have been a mac user since the mid 90s.
344,913,39,negative,hardrive,47,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
344,913,71,negative,touch control buttons,92,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
344,913,100,negative,keyboard,108,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
1368,914,,,,,  After the bad experience with this computer went back to compaq.
2038,915,,,,,Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.
1673,916,,,,,It doesn't heat up like my old laptop.
2871,917,98,positive,performance,109,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.
2530,918,,,,,It's solid.
1603,919,,,,,"Before I got my macbook, I owned a Dell laptop."
381,920,,,,,This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.
312,921,53,positive,iLife software,67,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
312,921,88,positive,iPhoto,94,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
312,921,96,positive,iMovie,102,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
312,921,104,positive,iWeb,108,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
312,921,110,positive,iTunes,116,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
312,921,118,positive,GarageBand,128,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
312,921,13,positive,runs,17,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
2795,922,51,negative,system board,63,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.
1865,923,74,neutral,size,78,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find."
1865,923,80,neutral,software,88,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find."
1865,923,99,neutral,hardware,107,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find."
1681,924,,,,,I don't know how I could ever live without my Qousmio.
2973,925,17,positive,memory,23,"It has plenty of memory, lots of hard drive, and great graphics."
2973,925,33,positive,hard drive,43,"It has plenty of memory, lots of hard drive, and great graphics."
2973,925,55,positive,graphics,63,"It has plenty of memory, lots of hard drive, and great graphics."
2612,926,64,positive,programs,72,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.
2612,926,77,positive,navigation,87,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.
1864,927,,,,,"  It lasted for many years of travel, kids and abuse and if I fired it up today, it would work."
2629,928,,,,,"been a PC user for many, many years."
2207,929,,,,,"I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it."
249,930,,,,,"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it."
1283,931,51,negative,hinge,56,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD)."
1283,931,100,neutral,LCD,103,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD)."
1423,932,20,negative,DELL Customer Service,41,My problem was with DELL Customer Service.
288,933,,,,,"There are so many things wrong with this product, it just makes me want to set my self on fire!"
256,934,,,,,"It is not even a year old yet, so I would definitely not recommend it to anyone."
2280,935,,,,,Amazing machine.
322,936,,,,,"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field."
1072,937,9,positive,RMA service,20,"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday."
2826,938,,,,,I'm very impressed.
1390,939,,,,,Dell sucks
1739,940,0,positive,Design,6,Design: very durable.
2419,941,26,neutral,keyboard,34,It is easy to go from one keyboard to another.
785,942,,,,,I spoke to 4 different people and was told they needed to transfer me to a 5th person!
82,943,,,,,The Mac Book Pro performs flawlessly.
1549,944,15,neutral,battery life,27,Has a 5-6 hour battery life.
2086,945,27,negative,screen/video resolution,50,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
2086,945,78,negative,resolution,88,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
300,946,94,neutral,applications,106,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
300,946,6,neutral,Dreamweaver,17,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
300,946,19,neutral,Final Cut Pro 7,34,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
300,946,36,neutral,Photoshop,45,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
300,946,47,neutral,Safari,53,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
300,946,55,neutral,Firefox,62,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
300,946,64,neutral,MSN Messenger,77,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time."
262,947,,,,,I have owned many computers and laptops.
2521,948,,,,,I recently purchased the mini and absolutely love it!
2284,949,,,,,Does a great job with video shot on a Canon 5D MKII.
851,950,131,negative,warrenty,139,"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad."
1008,951,16,neutral,tech support,28,Ive had to call tech support many times.
2261,952,4,positive,Apple applications,22,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!"
2261,952,27,positive,iPhoto,33,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!"
2793,953,,,,,"Yes, I have it on the highest available setting."
291,954,27,negative,gigs,31,Not to mention it has shit gigs.
1185,955,,,,,Hieroglyphics are quite common.
1719,956,,,,,This worked just fine.
391,957,17,neutral,memory,23,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
391,957,32,neutral,17-inch screen,46,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
391,957,79,positive,DVD,82,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
391,957,87,positive,CD burners,97,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners."
1595,958,66,positive,web browsing,78,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
1595,958,80,positive,uploading photos,96,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
1595,958,98,positive,watching movies,113,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
1595,958,137,positive,creating presentations,159,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations."
1150,959,,,,,I was so happy with my new Mac.
2362,960,0,positive,Quality Display,15,"Quality Display  I love HP,, it's the only computer/printer we will buy."
116,961,25,conflict,weight,31,"Despite the inconvenient weight, I opted for the 12 cell battery."
116,961,49,positive,12 cell battery,64,"Despite the inconvenient weight, I opted for the 12 cell battery."
2119,962,,,,,My MacBook is faster than any comparable PC.
2647,963,4,neutral,case,8,The case is carved out of a single block of aluminum.
2108,964,,,,,I'm very happy with this machine!
789,965,,,,,I do not recommend this company or their products!!!!
570,966,,,,,I like this machine because its very lightweight...
980,967,34,negative,power adapter plug,52,     First it burned or fused the power adapter plug.
668,968,4,positive,features,12,"the features are great, the only thing it needs is better speakers."
668,968,58,negative,speakers,66,"the features are great, the only thing it needs is better speakers."
1106,969,51,negative,screen,57,"It was still working, but there was nothing on the screen."
140,970,35,negative,TAB,38,I bought this laptop and found its TAB is not functioning.
1418,971,47,negative,extended warrenty,64,  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.
539,972,,,,,HP said I had done the damage.
621,973,45,negative,TFT panel,54,"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3)."
2360,974,0,positive,Navigation,10,"Navigation through the computer is far superior compared to Windows operating systems, as well."
2360,974,60,negative,Windows operating systems,85,"Navigation through the computer is far superior compared to Windows operating systems, as well."
2397,975,,,,,I would recommend this product.
2449,976,,,,,"If I had to buy another computer, I would most definetly buy an acer one computer."
1126,977,4,negative,screen,10,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk."
1126,977,95,negative,screen size,106,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk."
1126,977,125,negative,bulk,129,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk."
1745,978,31,negative,music software,45,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
1745,978,85,positive,software,93,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
1745,978,11,negative,picture,18,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
1745,978,20,negative,video,25,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers."
2205,979,,,,,I previously owned an HP desktop and a Dell laptop.
1065,980,,,,,Everything else just install and go.
987,981,,,,,  This thing is a lemon.
363,982,,,,,My laptop is almost 2yrs old and I have never had any problems with it.
1276,983,,,,,All the customers that come in hate Dell.
