/Reviews,,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/Opinions,/Review/sentences/sentence/text
B00FU83YWS_65_A1KQSBBXF0PT6J,89,GRAPHICS#GENERAL,neutral,,,
B00FU83YWS_65_A1KQSBBXF0PT6J,89,KEYBOARD#GENERAL,positive,,,
B00FU83YWS_65_A1KQSBBXF0PT6J,89,MULTIMEDIA_DEVICES#QUALITY,positive,,,
B00FU83YWS_65_A1KQSBBXF0PT6J,89,DISPLAY#OPERATION_PERFORMANCE,positive,,,
B00FU83YWS_65_A1KQSBBXF0PT6J,89,LAPTOP#GENERAL,positive,,,
B00FU83YWS_65_A1KQSBBXF0PT6J,89,,,B00FU83YWS_65_A1KQSBBXF0PT6J:0,,Very fast and good for most steam games.
B00FU83YWS_65_A1KQSBBXF0PT6J,89,,,B00FU83YWS_65_A1KQSBBXF0PT6J:1,,"Don't expect great graphics, though."
B00FU83YWS_65_A1KQSBBXF0PT6J,89,,,B00FU83YWS_65_A1KQSBBXF0PT6J:2,,"The keyboard and sound are great, and the matte screen works well."
B00FU83YWS_65_A1KQSBBXF0PT6J,89,,,B00FU83YWS_65_A1KQSBBXF0PT6J:3,,Can run CS:GO at 60 fps on low settings.
B00FU83YWS_17_A222CVY87OUZ2U,90,LAPTOP#QUALITY,negative,,,
B00FU83YWS_17_A222CVY87OUZ2U,90,LAPTOP#GENERAL,negative,,,
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:0,,Computer was DOA.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:1,,Turned it on and it was beeping.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:2,,Looked up the manual on another computer.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:3,,The manual said that particular series of beeps indicated a video problem.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:4,,Have the unit serviced.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:5,,Lenovo sent me a box to return it to them.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:6,,They claim they will have it back in six working days.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:7,,We'll see.
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:8,,"Once I get a working computer, I think I will like it."
B00FU83YWS_17_A222CVY87OUZ2U,90,,,B00FU83YWS_17_A222CVY87OUZ2U:9,,I've had Lenovo computers before.
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,MULTIMEDIA_DEVICES#QUALITY,negative,,,
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,MULTIMEDIA_DEVICES#USABILITY,negative,,,
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,LAPTOP#DESIGN_FEATURES,negative,,,
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,LAPTOP#USABILITY,negative,,,
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,LAPTOP#GENERAL,negative,,,
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,,,B00FU83YWS_26_A3I7Q5Y8IIS1YE:0,,Built in mike is really poor and unusable for Skype or any other purpose.
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,,,B00FU83YWS_26_A3I7Q5Y8IIS1YE:1,,And the only microphone input is for a combo Mike/Speaker plug.
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,,,B00FU83YWS_26_A3I7Q5Y8IIS1YE:2,,So to communicate I need to wear ear plugs or a headset with a built-in mike.
B00FU83YWS_26_A3I7Q5Y8IIS1YE,91,,,B00FU83YWS_26_A3I7Q5Y8IIS1YE:3,,That's a nuisance for family Skype calls...only one can speak at a time.
358,92,LAPTOP#OPERATION_PERFORMANCE,positive,,,
358,92,LAPTOP#PRICE,positive,,,
358,92,LAPTOP#MISCELLANEOUS,positive,,,
358,92,LAPTOP#DESIGN_FEATURES,neutral,,,
358,92,LAPTOP#GENERAL,positive,,,
358,92,,,358:0,,I bought this laptop because of the performance to price ratio.
358,92,,,358:1,,"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc."
358,92,,,358:2,,"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important."
351,93,MEMORY#DESIGN_FEATURES,neutral,,,
351,93,LAPTOP#DESIGN_FEATURES,negative,,,
351,93,LAPTOP#USABILITY,negative,,,
351,93,PORTS#DESIGN_FEATURES,negative,,,
351,93,MOUSE#USABILITY,negative,,,
351,93,OS#GENERAL,positive,,,
351,93,COMPANY#GENERAL,negative,,,
351,93,LAPTOP#GENERAL,negative,,,
351,93,,,351:0,,little short on RAM but you get what you pay for.
351,93,,,351:1,,"the hinge design forced you to place various connections all around the computer, left right and front."
351,93,,,351:2,,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person."
351,93,,,351:3,,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
351,93,,,351:4,,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time."
217,94,LAPTOP#GENERAL,negative,,,
217,94,LAPTOP#QUALITY,negative,,,
217,94,,,217:0,,"When I got this laptop in 2007 to help me with school, I had a hard time from beginning."
217,94,,,217:1,,"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it."
334,95,LAPTOP#USABILITY,negative,,,
334,95,SOFTWARE#QUALITY,negative,,,
334,95,LAPTOP#GENERAL,negative,,,
334,95,,,334:0,,Couldnt not use it.
334,95,,,334:1,,Tried to make a recovey disk wouldnt get passed the first recovery disk.
334,95,,,334:2,,defective software.
334,95,,,334:3,,returned it to walmart.
334,95,,,334:4,,This was the second computer and brand bought that day.
298,96,LAPTOP#GENERAL,positive,,,
298,96,LAPTOP#PRICE,neutral,,,
298,96,HARD_DISC#DESIGN_FEATURES,positive,,,
298,96,GRAPHICS#GENERAL,positive,,,
298,96,LAPTOP#USABILITY,positive,,,
298,96,,,298:0,,"Waiting for the i7 was well worth it, great value for the price."
298,96,,,298:1,,"Bigger HD, better graphics card, and a bid HD."
298,96,,,298:2,,There is nothing to complain about the system.
298,96,,,298:3,,I have used PC's and converting to this MacBook Pro was easy.
298,96,,,298:4,,If you have the money I suggest going for the i7.
231,97,LAPTOP#GENERAL,negative,,,
231,97,COMPANY#GENERAL,negative,,,
231,97,LAPTOP#OPERATION_PERFORMANCE,negative,,,
231,97,SUPPORT#QUALITY,negative,,,
231,97,LAPTOP#QUALITY,negative,,,
231,97,LAPTOP#CONNECTIVITY,negative,,,
231,97,OS#QUALITY,negative,,,
231,97,OS#OPERATION_PERFORMANCE,negative,,,
231,97,,,231:0,,This computer was awful!
231,97,,,231:1,,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.
231,97,,,231:2,,The computer first started malfunctioning 3 months after purchasing it.
231,97,,,231:3,,It does not keep internet signals no matter where you bring it.
231,97,,,231:4,,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all."
231,97,,,231:5,,"When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it."
231,97,,,231:6,,"One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it."
231,97,,,231:7,,"This computer was awful, I would never recomend it to another person."
231,97,,,231:8,,Those moments in thime where you want to throw something against the wall?
231,97,,,231:9,,"Yeah, I wanted to throw that lap top out the window and light it on fire."
231,97,,,231:10,,That's how frustrating it was.
312,98,LAPTOP#MISCELLANEOUS,positive,,,
312,98,LAPTOP#OPERATION_PERFORMANCE,positive,,,
312,98,BATTERY#OPERATION_PERFORMANCE,positive,,,
312,98,MULTIMEDIA_DEVICES#QUALITY,negative,,,
312,98,LAPTOP#GENERAL,positive,,,
312,98,MEMORY#DESIGN_FEATURES,neutral,,,
312,98,,,312:0,,It really is perfect for work and play.
312,98,,,312:1,,I am able to play 720p and 1080p media files just fine with it.
312,98,,,312:2,,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.
312,98,,,312:3,,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that."
312,98,,,312:4,,"I upgraded it's RAM to 2GB, I am very happy with it."
389,99,LAPTOP#GENERAL,positive,,,
389,99,LAPTOP#DESIGN_FEATURES,neutral,,,
389,99,LAPTOP#OPERATION_PERFORMANCE,positive,,,
389,99,LAPTOP#MISCELLANEOUS,positive,,,
389,99,COMPANY#GENERAL,positive,,,
389,99,,,389:0,,What a great little laptop.
389,99,,,389:1,,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.
389,99,,,389:2,,I bought it to use in college and it is perfect.
389,99,,,389:3,,I dual boot with Linux and that other security-prone OS and it performs flawlessly.
389,99,,,389:4,,I made a perfect decision when I bought the Toshiba!
12,100,LAPTOP#OPERATION_PERFORMANCE,positive,,,
12,100,LAPTOP#GENERAL,positive,,,
12,100,LAPTOP#QUALITY,positive,,,
12,100,LAPTOP#MISCELLANEOUS,positive,,,
12,100,,,12:0,,The Mac Book Pro performs flawlessly.
12,100,,,12:1,,"Never had a single problem, and don't have to worry about viruses."
12,100,,,12:2,,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops."
12,100,,,12:3,,Worth the investment and truly a fine piece of equipment.
168,101,LAPTOP#GENERAL,positive,,,
168,101,LAPTOP#MISCELLANEOUS,positive,,,
168,101,LAPTOP#DESIGN_FEATURES,positive,,,
168,101,MULTIMEDIA_DEVICES#GENERAL,positive,,,
168,101,SOFTWARE#OPERATION_PERFORMANCE,positive,,,
168,101,OS#GENERAL,negative,,,
168,101,LAPTOP#PRICE,positive,,,
168,101,LAPTOP#OPERATION_PERFORMANCE,positive,,,
168,101,LAPTOP#PORTABILITY,positive,,,
168,101,BATTERY#OPERATION_PERFORMANCE,positive,,,
168,101,COMPANY#GENERAL,positive,,,
168,101,,,168:0,,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously)."
168,101,,,168:1,,"It even has a great webcam, and Skype works very well."
168,101,,,168:2,,The fact that you can spend over $100 on just a webcam underscores the value of this machine.
168,101,,,168:3,,"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics."
168,101,,,168:4,,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price."
168,101,,,168:5,,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks."
168,101,,,168:6,,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!)."
168,101,,,168:7,,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time."
168,101,,,168:8,,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them."
303,102,LAPTOP#GENERAL,positive,,,
303,102,LAPTOP#USABILITY,positive,,,
303,102,LAPTOP#DESIGN_FEATURES,positive,,,
303,102,LAPTOP#QUALITY,positive,,,
303,102,LAPTOP#PORTABILITY,positive,,,
303,102,LAPTOP#MISCELLANEOUS,positive,,,
303,102,LAPTOP#OPERATION_PERFORMANCE,positive,,,
303,102,SOFTWARE#USABILITY,positive,,,
303,102,SOFTWARE#OPERATION_PERFORMANCE,positive,,,
303,102,,,303:0,,i love to use it it is esay and light.
303,102,,,303:1,,this laptop is durable and it is easy to travel with.
303,102,,,303:2,,i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.
303,102,,,303:3,,this laptop is great for work and doing my pictures.
303,102,,,303:4,,"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing."
303,102,,,303:5,,the programs are esay to use and are quick to process this computer works like a charm.
303,102,,,303:6,,i can use it for all of my needs.
303,102,,,303:7,,i give this laptop a five star review i love it and it has done chams for me.
303,102,,,303:8,,if this computer every breaks down on me i will most definatly get the same one again.
303,102,,,303:9,,i think that anyone looking for a good durrable laptop then this is the way to go.
314,103,LAPTOP#GENERAL,positive,,,
314,103,LAPTOP#MISCELLANEOUS,positive,,,
314,103,OS#USABILITY,positive,,,
314,103,LAPTOP#OPERATION_PERFORMANCE,positive,,,
314,103,,,314:0,,"been a PC user for many, many years."
314,103,,,314:1,,"Let me tell you, this machine is great."
314,103,,,314:2,,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc."
314,103,,,314:3,,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC."
314,103,,,314:4,,The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.
314,103,,,314:5,,The only time I have restarted is during system updates.
314,103,,,314:6,,great machine if you want to drop the cash for one.
32,104,LAPTOP#GENERAL,negative,,,
32,104,SOFTWARE#OPERATION_PERFORMANCE,negative,,,
32,104,LAPTOP#OPERATION_PERFORMANCE,negative,,,
32,104,BATTERY#OPERATION_PERFORMANCE,negative,,,
32,104,BATTERY#QUALITY,negative,,,
32,104,LAPTOP#QUALITY,negative,,,
32,104,,,32:0,,I bought this eMachines Notebook PC in January of this year and I am highly dissatisfied with it.
32,104,,,32:1,,The Internet Explorer was very slow from the very beginning.
32,104,,,32:2,,"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it."
32,104,,,32:3,,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.
32,104,,,32:4,,"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes."
32,104,,,32:5,,"This Notebook restarts every time there is a new update, so if you don't save your files and information, everything will be lost."
32,104,,,32:6,,Another issue I have with it is the battery.
32,104,,,32:7,,Maybe three or four months ago it started blinking all of the sudden.
32,104,,,32:8,,"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge."
32,104,,,32:9,,"It is not even a year old yet, so I would definitely not recommend it to anyone."
32,104,,,32:10,,Don't waste your money!
155,105,LAPTOP#OPERATION_PERFORMANCE,negative,,,
155,105,LAPTOP#QUALITY,negative,,,
155,105,SUPPORT#QUALITY,negative,,,
155,105,SUPPORT#PRICE,negative,,,
155,105,OS#GENERAL,negative,,,
155,105,LAPTOP#GENERAL,negative,,,
155,105,COMPANY#GENERAL,negative,,,
155,105,,,155:0,,STOPPED BOOTING UP less than a week after my one-year warranty was up.
155,105,,,155:1,,Toshiba knows there is a manufacturing defect but will not acknowledge it.
155,105,,,155:2,,"Summary: After doing some investigation on the web, I have found that Toshiba NB205s are not chronically not booting."
155,105,,,155:3,,"Apparently there is a manufacturing defect, something with the amount of thermal paste."
155,105,,,155:4,,TOSHIBA WILL NOT ACKNOWLEDGE THIS PROBLEM.
155,105,,,155:5,,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support."
155,105,,,155:6,,I loved the netbook (minus the fact that it was windows OS) until this started happening.
155,105,,,155:7,,"But if you can't make your product last more than a year, you will not get my business again."
387,106,LAPTOP#GENERAL,positive,,,
387,106,LAPTOP#OPERATION_PERFORMANCE,positive,,,
387,106,HARD_DISC#DESIGN_FEATURES,positive,,,
387,106,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative,,,
387,106,MULTIMEDIA_DEVICES#USABILITY,negative,,,
387,106,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,,,
387,106,,,387:0,,It has good speed and plenty of hard drive space.
387,106,,,387:1,,The only downfall is the volume control.
387,106,,,387:2,,The wheel that turns the volume up and down doesn't work in real time.
387,106,,,387:3,,I have to keep turning it until it decides to lower and there is no mute.
101,107,LAPTOP#OPERATION_PERFORMANCE,negative,,,
101,107,LAPTOP#CONNECTIVITY,negative,,,
101,107,LAPTOP#GENERAL,negative,,,
101,107,,,101:0,,"Its not just slow on the internet, its slow in general."
101,107,,,101:1,,No I am generous calling it slow.
101,107,,,101:2,,its more like a snail crawl.
101,107,,,101:3,,I bought for my son in the 2nd grade.
101,107,,,101:4,,he can't stand it.
101,107,,,101:5,,I can't begin to say how disappointed I am.
101,107,,,101:6,,I should have spent an extra hundred bucks and got a full sized computer.
152,108,LAPTOP#GENERAL,negative,,,
152,108,MOTHERBOARD#QUALITY,negative,,,
152,108,POWER_SUPPLY#QUALITY,negative,,,
152,108,SUPPORT#QUALITY,negative,,,
152,108,,,152:0,,The Toshiba Satellite laptop is  DESIGNED  to fail !
152,108,,,152:1,,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.
152,108,,,152:2,,Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.
152,108,,,152:3,,I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.
152,108,,,152:4,,Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.
69,109,LAPTOP#GENERAL,positive,,,
69,109,LAPTOP#OPERATION_PERFORMANCE,positive,,,
69,109,MEMORY#DESIGN_FEATURES,positive,,,
69,109,SOFTWARE#OPERATION_PERFORMANCE,positive,,,
69,109,SOFTWARE#USABILITY,positive,,,
69,109,LAPTOP#USABILITY,positive,,,
69,109,KEYBOARD#DESIGN_FEATURES,positive,,,
69,109,KEYBOARD#USABILITY,positive,,,
69,109,SUPPORT#QUALITY,positive,,,
69,109,COMPANY#GENERAL,positive,,,
69,109,,,69:0,,I would like to tell you about the best laptop I just got from Mac.
69,109,,,69:1,,"I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well."
69,109,,,69:2,,My mac laptop is fabulous in both areas.
69,109,,,69:3,,It gives me the power and speed that I need to run all the programs I use to edit.
69,109,,,69:4,,"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac."
69,109,,,69:5,,I would buy one of these for every person in my office if I could.
69,109,,,69:6,,"In my line of work, I often have to take work home, and this makes it so easy."
69,109,,,69:7,,"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well."
69,109,,,69:8,,"The apple care has never failed me, and I expect it to be the same for this computer as well."
69,109,,,69:9,,I will only buy apple laptops from now on.
43,110,LAPTOP#GENERAL,negative,,,
43,110,LAPTOP#QUALITY,negative,,,
43,110,LAPTOP#OPERATION_PERFORMANCE,negative,,,
43,110,BATTERY#OPERATION_PERFORMANCE,negative,,,
43,110,SOFTWARE#OPERATION_PERFORMANCE,negative,,,
43,110,,,43:0,,My MacBook Pro has been a huge disappointment.
43,110,,,43:1,,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
43,110,,,43:2,,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly."
43,110,,,43:3,,I would not recommend this product to anyone.
B0096VDM8G_47_ADVH60401PIPV,111,LAPTOP#GENERAL,positive,,,
B0096VDM8G_47_ADVH60401PIPV,111,LAPTOP#QUALITY,positive,,,
B0096VDM8G_47_ADVH60401PIPV,111,DISPLAY#GENERAL,positive,,,
B0096VDM8G_47_ADVH60401PIPV,111,,,B0096VDM8G_47_ADVH60401PIPV:0,,Outstanding laptop and very well built.
B0096VDM8G_47_ADVH60401PIPV,111,,,B0096VDM8G_47_ADVH60401PIPV:1,,This unit will replace my old desktop.
B0096VDM8G_47_ADVH60401PIPV,111,,,B0096VDM8G_47_ADVH60401PIPV:2,,The retina display is fantastic.
B00KMRGF28_361_A2ZAFMJE8NXOWA,112,LAPTOP#PRICE,positive,,,
B00KMRGF28_361_A2ZAFMJE8NXOWA,112,BATTERY#OPERATION_PERFORMANCE,positive,,,
B00KMRGF28_361_A2ZAFMJE8NXOWA,112,LAPTOP#GENERAL,positive,,,
B00KMRGF28_361_A2ZAFMJE8NXOWA,112,,,B00KMRGF28_361_A2ZAFMJE8NXOWA:0,,awesome price for a laptop that lasts more than 8 hours without recharging!
B00KMRGF28_361_A2ZAFMJE8NXOWA,112,,,B00KMRGF28_361_A2ZAFMJE8NXOWA:1,,are u serious?
B00KMRGF28_361_A2ZAFMJE8NXOWA,112,,,B00KMRGF28_361_A2ZAFMJE8NXOWA:2,,awesome!
B00KMRGF28_346_A3IUXJAOQJ8HV9,113,LAPTOP#GENERAL,positive,,,
B00KMRGF28_346_A3IUXJAOQJ8HV9,113,OS#GENERAL,negative,,,
B00KMRGF28_346_A3IUXJAOQJ8HV9,113,,,B00KMRGF28_346_A3IUXJAOQJ8HV9:0,,Love the computer.
B00KMRGF28_346_A3IUXJAOQJ8HV9,113,,,B00KMRGF28_346_A3IUXJAOQJ8HV9:1,,Hate Windows 8.1!
B00KMRGF28_348_AIWOQEEVFQO42,114,LAPTOP#GENERAL,negative,,,
B00KMRGF28_348_AIWOQEEVFQO42,114,LAPTOP#OPERATION_PERFORMANCE,negative,,,
B00KMRGF28_348_AIWOQEEVFQO42,114,,,B00KMRGF28_348_AIWOQEEVFQO42:0,,Had to return the computer.
B00KMRGF28_348_AIWOQEEVFQO42,114,,,B00KMRGF28_348_AIWOQEEVFQO42:1,,Keeps freezing
B00KMRGF28_337_A129TBZO0BVAG7,115,LAPTOP#GENERAL,positive,,,
B00KMRGF28_337_A129TBZO0BVAG7,115,LAPTOP#OPERATION_PERFORMANCE,positive,,,
B00KMRGF28_337_A129TBZO0BVAG7,115,,,B00KMRGF28_337_A129TBZO0BVAG7:0,,Terrific laptop.
B00KMRGF28_337_A129TBZO0BVAG7,115,,,B00KMRGF28_337_A129TBZO0BVAG7:1,,Works beautifully.
B00KMRGF28_331_A3LXQO6K4ZK6O6,116,LAPTOP#USABILITY,positive,,,
B00KMRGF28_331_A3LXQO6K4ZK6O6,116,LAPTOP#OPERATION_PERFORMANCE,positive,,,
B00KMRGF28_331_A3LXQO6K4ZK6O6,116,LAPTOP#GENERAL,positive,,,
B00KMRGF28_331_A3LXQO6K4ZK6O6,116,LAPTOP#PRICE,positive,,,
B00KMRGF28_331_A3LXQO6K4ZK6O6,116,,,B00KMRGF28_331_A3LXQO6K4ZK6O6:0,,Was easy to set up and has been easy to learn to use it.
B00KMRGF28_331_A3LXQO6K4ZK6O6,116,,,B00KMRGF28_331_A3LXQO6K4ZK6O6:1,,Works good and is fast enough for me.
B00KMRGF28_331_A3LXQO6K4ZK6O6,116,,,B00KMRGF28_331_A3LXQO6K4ZK6O6:2,,Good product for a good price.
B00KMRGF28_284_A3FA96H7RRL740,117,LAPTOP#QUALITY,negative,,,
B00KMRGF28_284_A3FA96H7RRL740,117,DISPLAY#QUALITY,negative,,,
B00KMRGF28_284_A3FA96H7RRL740,117,LAPTOP#GENERAL,negative,,,
B00KMRGF28_284_A3FA96H7RRL740,117,,,B00KMRGF28_284_A3FA96H7RRL740:0,,This product was DOA.
B00KMRGF28_284_A3FA96H7RRL740,117,,,B00KMRGF28_284_A3FA96H7RRL740:1,,Fired up and worked for the first day and then the display died on my wife while she was taking a timed test.
B00KMRGF28_284_A3FA96H7RRL740,117,,,B00KMRGF28_284_A3FA96H7RRL740:2,,Would not recommend.
B00KMRGF28_208_A2O3P3SPKVXD1W,118,LAPTOP#PRICE,positive,,,
B00KMRGF28_208_A2O3P3SPKVXD1W,118,LAPTOP#GENERAL,positive,,,
B00KMRGF28_208_A2O3P3SPKVXD1W,118,LAPTOP#MISCELLANEOUS,positive,,,
B00KMRGF28_208_A2O3P3SPKVXD1W,118,,,B00KMRGF28_208_A2O3P3SPKVXD1W:0,,Can not believe the price!
B00KMRGF28_208_A2O3P3SPKVXD1W,118,,,B00KMRGF28_208_A2O3P3SPKVXD1W:1,,"Amazing computer,  perfect for school."
B00AH4A950_11_AC5RTYQQU6A9A,119,LAPTOP#GENERAL,positive,,,
B00AH4A950_11_AC5RTYQQU6A9A,119,LAPTOP#MISCELLANEOUS,positive,,,
B00AH4A950_11_AC5RTYQQU6A9A,119,,,B00AH4A950_11_AC5RTYQQU6A9A:0,,i just love this ultrabook
B00AH4A950_11_AC5RTYQQU6A9A,119,,,B00AH4A950_11_AC5RTYQQU6A9A:1,,i defenitly recommend it for anyone for office and home work
B0096VDM8G_74_A3JYJCVU8D2L54,120,LAPTOP#GENERAL,positive,,,
B0096VDM8G_74_A3JYJCVU8D2L54,120,LAPTOP#DESIGN_FEATURES,negative,,,
B0096VDM8G_74_A3JYJCVU8D2L54,120,,,B0096VDM8G_74_A3JYJCVU8D2L54:0,,I love this computer!
B0096VDM8G_74_A3JYJCVU8D2L54,120,,,B0096VDM8G_74_A3JYJCVU8D2L54:1,,However I am very upset that it doesn't have the superdrive built in!
8,121,LAPTOP#GENERAL,negative,,,
8,121,LAPTOP#QUALITY,negative,,,
8,121,LAPTOP#MISCELLANEOUS,negative,,,
8,121,,,8:0,,Had to have this computer repaired twice in the first 5 months after purchasing it.
8,121,,,8:1,,Not good for a person who gets online daily.
8,121,,,8:2,,May be better for the occasional web surfer.
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,LAPTOP#MISCELLANEOUS,conflict,,,
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,LAPTOP#PRICE,positive,,,
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,OS#USABILITY,neutral,,,
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,LAPTOP#DESIGN_FEATURES,neutral,,,
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,LAPTOP#QUALITY,neutral,,,
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,LAPTOP#GENERAL,positive,,,
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:0,,"For everyday use, you can't really go wrong with this laptop."
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:1,,"If, like me, you will be paying bills, occasionally reading the news, or just buying stuff on line, Then this is a winner."
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:2,,"If you are a gamer or need it for heavy computer use, get something else."
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:3,,It's a good starter computer that is extremely light on the wallet.
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:4,,"Like i said, Good for basic stuff and as a starter."
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:5,,Still getting use to Window 8.
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:6,,Has a built in camera which i do not use.
B00KMRGF28_185_A1JE1DCYMIWKJ4,122,,,B00KMRGF28_185_A1JE1DCYMIWKJ4:7,,Sturdy but only for typical wear and tear.
B00FU83YWS_29_A12BQH3ETKAFX1,123,CPU#OPERATION_PERFORMANCE,negative,,,
B00FU83YWS_29_A12BQH3ETKAFX1,123,LAPTOP#MISCELLANEOUS,conflict,,,
B00FU83YWS_29_A12BQH3ETKAFX1,123,LAPTOP#QUALITY,positive,,,
B00FU83YWS_29_A12BQH3ETKAFX1,123,LAPTOP#DESIGN_FEATURES,positive,,,
B00FU83YWS_29_A12BQH3ETKAFX1,123,LAPTOP#GENERAL,positive,,,
B00FU83YWS_29_A12BQH3ETKAFX1,123,,,B00FU83YWS_29_A12BQH3ETKAFX1:0,,Other than the slow CPU it works great for everyday use.
